Destination Country,incomegroup
Afghanistan,low 
Benin,low 
Burkina Faso,low 
Burundi,low 
Cambodia,low 
Central African Republic,low 
Chad,low 
Comoros,low 
"Congo, Democratic Republic of the",low 
Eritrea,low 
Ethiopia,low 
Gambia,low 
Guinea,low 
Guinea-Bissau,low 
Haiti,low 
"Korea, Democratic People's Republic of",low 
Liberia,low 
Madagascar,low 
Malawi,low 
Mali,low 
Mozambique,low 
Nepal,low 
Niger,low 
Rwanda,low 
Sierra Leone,low 
Somalia,low 
South Sudan,low 
"Tanzania, United Republic of",low 
Togo,low 
Uganda,low 
Zimbabwe,low 
Armenia,lower middle
Bangladesh,lower middle
Bhutan,lower middle
Bolivia,lower middle
Cape Verde,lower middle
Cameroon,lower middle
"Congo, Republic of",lower middle
Côte d'Ivoire,lower middle
Djibouti,lower middle
Egypt,lower middle
El Salvador,lower middle
Georgia,lower middle
Ghana,lower middle
Guatemala,lower middle
Guyana,lower middle
Honduras,lower middle
India,lower middle
Indonesia,lower middle
Kenya,lower middle
Kiribati,lower middle
Kosovo,lower middle
Kyrgyzstan,lower middle
Lao People's Democratic Republic,lower middle
Lesotho,lower middle
Mauritania,lower middle
Micronesia,lower middle
"Moldova, Republic of",lower middle
Morocco,lower middle
Myanmar,lower middle
Nicaragua,lower middle
Nigeria,lower middle
Pakistan,lower middle
Papua New Guinea,lower middle
Philippines,lower middle
Samoa,lower middle
Sao Tome and Principe,lower middle
Senegal,lower middle
Solomon Islands,lower middle
Sri Lanka,lower middle
Sudan,lower middle
Swaziland,lower middle
Syrian Arab Republic,lower middle
Tajikistan,lower middle
Timor Leste,lower middle
Ukraine,lower middle
Uzbekistan,lower middle
Vanuatu,lower middle
Viet Nam,lower middle
"Palestinian territory, occupied",lower middle
Yemen,lower middle
Zambia,lower middle
Albania,upper middle
Algeria,upper middle
American Samoa,upper middle
Angola,upper middle
Azerbaijan,upper middle
Belarus,upper middle
Belize,upper middle
Bosnia and Herzegovina,upper middle
Botswana,upper middle
Brazil,upper middle
Bulgaria,upper middle
China,upper middle
Colombia,upper middle
Costa Rica,upper middle
Cuba,upper middle
Dominica,upper middle
Dominican Republic,upper middle
Ecuador,upper middle
Fiji,upper middle
Gabon,upper middle
Grenada,upper middle
"Iran, Islamic Republic of",upper middle
Iraq,upper middle
Jamaica,upper middle
Jordan,upper middle
Kazakhstan,upper middle
Lebanon,upper middle
Libya,upper middle
Former Yugoslav Republic of Macedonia,upper middle
Malaysia,upper middle
Maldives,upper middle
Marshall Islands,upper middle
Mauritius,upper middle
Mexico,upper middle
Mongolia,upper middle
Montenegro,upper middle
Namibia,upper middle
Palau,upper middle
Panama,upper middle
Paraguay,upper middle
Peru,upper middle
Romania,upper middle
Serbia,upper middle
South Africa,upper middle
Saint Lucia,upper middle
Saint Vincent and the Grenadines,upper middle
Suriname,upper middle
Thailand,upper middle
Tonga,upper middle
Tunisia,upper middle
Turkey,upper middle
Turkmenistan,upper middle
Tuvalu,upper middle
Andorra,high
Antigua and Barbuda,high
Argentina,high
Aruba,high
Australia,high
Austria,high
Bahamas,high
Bahrain,high
Barbados,high
Belgium,high
Bermuda,high
Brunei Darussalam,high
Canada,high
Cayman Islands,high
Channel Islands,high
Chile,high
Croatia,high
Curacao,high
Cyprus,high
Czech Republic,high
Denmark,high
Equatorial Guinea,high
Estonia,high
Faeroe Islands,high
Finland,high
France,high
French Polynesia,high
Germany,high
Greece,high
Greenland,high
Guam,high
Hong Kong Special Administrative Region of the People's Republic of China,high
Hungary,high
Iceland,high
Ireland,high
Isle of Man,high
Israel,high
Italy,high
Japan,high
"Korea, Republic of",high
Kuwait,high
Latvia,high
Liechtenstein,high
Lithuania,high
Luxembourg,high
"Macao SAR, China",high
Malta,high
Monaco,high
Netherlands,high
New Caledonia,high
New Zealand,high
Northern Mariana Islands,high
Norway,high
Oman,high
Poland,high
Portugal,high
Puerto Rico,high
Qatar,high
Russian Federation,high
San Marino,high
Saudi Arabia (Kingdom of),high
Seychelles,high
Singapore,high
Sint Maarten (Dutch part),high
Slovakia,high
Slovenia,high
Spain,high
Saint Kitts and Nevis,high
St. Martin (French part),high
Sweden,high
Switzerland,high
Chinese Taipei,high
Trinidad and Tobago,high
Turks and Caicos Islands,high
United Arab Emirates,high
United Kingdom ,high
United States of America,high
Uruguay,high
Venezuela,high
Virgin Islands (U.S.),high
